id,key,value,type
151630964,id,181788,gnis
151630964,gnis:Class,Populated Place,regular
151630964,gnis:County,Jefferson,regular
151630964,gnis:ST_num,08,regular
151630964,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151630964,gnis:ST_alpha,CO,regular
151630964,gnis:County_num,059,regular
151654479,ele,1641,regular
151654479,name,Westminster,regular
151654479,is_in,"Adams,Colorado,Colo.,CO,USA",regular
151654479,place,town,regular
151654479,id,204703,gnis
151654479,wikidata,Q948129,regular
151654479,gnis:Class,Populated Place,regular
151654479,population,110945,regular
151654479,gnis:County,Adams,regular
151654479,gnis:ST_num,08,regular
151654479,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151654479,gnis:ST_alpha,CO,regular
151654479,gnis:County_num,001,regular
151683387,ele,1553,regular
151683387,gnis:Class,Populated Place,regular
151683387,gnis:County,Boulder,regular
151683387,gnis:County_num,013,regular
151683387,id,178333,gnis
151683387,gnis:ST_alpha,CO,regular
151683387,gnis:ST_num,08,regular
151683387,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151683387,is_in,"Boulder,Colorado,Colo.,CO,USA",regular
151683387,name,Hygiene,regular
151683387,place,hamlet,regular
151683387,wikidata,Q3473226,regular
151699472,ele,1749,regular
151699472,name,Kistler Park,regular
151699472,is_in,"Douglas,Colorado,Colo.,CO,USA",regular
151699472,place,hamlet,regular
151699472,id,2085562,gnis
151699472,gnis:Class,Populated Place,regular
151699472,gnis:County,Douglas,regular
151699472,gnis:ST_num,08,regular
151699472,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151699472,gnis:ST_alpha,CO,regular
151699472,gnis:County_num,035,regular
151719147,ele,1583,regular
151719147,name,North Washington,regular
151719147,is_in,"Adams,Colorado,Colo.,CO,USA",regular
151719147,place,hamlet,regular
151719147,id,1852846,gnis
151719147,gnis:Class,Populated Place,regular
151719147,gnis:County,Adams,regular
151719147,gnis:ST_num,08,regular
151719147,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151719147,gnis:ST_alpha,CO,regular
151719147,gnis:County_num,001,regular
151730737,population,140024;2006,census
151730737,ele,1682,regular
151730737,gnis:Class,Populated Place,regular
151730737,gnis:County,Jefferson,regular
151730737,gnis:County_num,059,regular
151730737,id,181620,gnis
151730737,gnis:ST_alpha,CO,regular
151730737,gnis:ST_num,08,regular
151730737,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151730737,name,Lakewood,regular
151730737,place,suburb,regular
151730737,population,140024,regular
151730737,wikidata,Q462804,regular
151752472,ele,1593,regular
151752472,name,Utah Junction,regular
151752472,is_in,"Adams,Colorado,Colo.,CO,USA",regular
151752472,place,locality,regular
151752472,id,202844,gnis
151752472,gnis:Class,Populated Place,regular
151752472,gnis:County,Adams,regular
151752472,gnis:ST_num,08,regular
151752472,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151752472,gnis:ST_alpha,CO,regular
151752472,gnis:County_num,001,regular
151760279,ele,1969,regular
151760279,gnis:Class,Populated Place,regular
151760279,gnis:County,Jefferson,regular
151760279,gnis:County_num,059,regular
151760279,id,204713,gnis
151760279,gnis:ST_alpha,CO,regular
151760279,gnis:ST_num,08,regular
151760279,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151760279,is_in,"Jefferson,Colorado,Colo.,CO,USA",regular
151760279,name,Idledale,regular
151760279,place,hamlet,regular
151760279,wikidata,Q5844913,regular
151788668,ele,2474,regular
151788668,name,Aspen Meadows,regular
151788668,is_in,"Boulder,Colorado,Colo.,CO,USA",regular
151788668,place,hamlet,regular
151788668,id,197905,gnis
151788668,gnis:Class,Populated Place,regular
151788668,gnis:County,Boulder,regular
151788668,gnis:ST_num,08,regular
151788668,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151788668,gnis:ST_alpha,CO,regular
151788668,gnis:County_num,013,regular
151819195,ele,2359,regular
151819195,gnis:Class,Populated Place,regular
151819195,gnis:County,Park,regular
151819195,gnis:County_num,093,regular
151819195,id,204727,gnis
151819195,gnis:ST_alpha,CO,regular
151819195,gnis:ST_num,08,regular
151819195,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151819195,is_in,"Park,Colorado,Colo.,CO,USA",regular
151819195,name,Bailey,regular
151819195,place,town,regular
151819195,wikidata,Q2879858,regular
151845621,ele,1951,regular
151845621,name,Happy Canyon,regular
151845621,is_in,"Douglas,Colorado,Colo.,CO,USA",regular
151845621,place,hamlet,regular
151845621,id,185087,gnis
151845621,gnis:Class,Populated Place,regular
151845621,gnis:County,Douglas,regular
151845621,gnis:ST_num,08,regular
151845621,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151845621,gnis:ST_alpha,CO,regular
151845621,gnis:County_num,035,regular
151874459,ele,2572,regular
151874459,name,Caribou City,regular
151874459,is_in,"Boulder,Colorado,Colo.,CO,USA",regular
151874459,place,hamlet,regular
151874459,id,198001,gnis
151874459,gnis:Class,Populated Place,regular
151874459,gnis:County,Boulder,regular
151874459,gnis:ST_num,08,regular
151874459,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151874459,gnis:ST_alpha,CO,regular
151874459,gnis:County_num,013,regular
151894099,ele,1982,regular
151894099,name,Seven Hills,regular
151894099,is_in,"Boulder,Colorado,Colo.,CO,USA",regular
151894099,place,hamlet,regular
151894099,id,197735,gnis
151894099,gnis:Class,Populated Place,regular
151894099,gnis:County,Boulder,regular
151894099,gnis:ST_num,08,regular
151894099,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151894099,gnis:ST_alpha,CO,regular
151894099,gnis:County_num,013,regular
151921379,ele,3072,regular
151921379,name,Saint Marys,regular
151921379,is_in,"Clear Creek,Colorado,Colo.,CO,USA",regular
